Temperature (Celsius),Species,strain_ID,Week,Plate,Growth
15,Laccaria bicolor,LacbV1,3,5,8.451
15,Laccaria bicolor,LacbV1,3,6,8.448
15,Laccaria bicolor,LacbV1,4,1,10.133
15,Laccaria bicolor,LacbV1,4,2,10.456
15,Laccaria bicolor,LacbV1,4,3,11.323
15,Laccaria bicolor,LacbV1,4,4,11.853
15,Laccaria bicolor,LacbV1,4,5,11.395
15,Laccaria bicolor,LacbV1,4,6,12.07
15,Laccaria bicolor,LacbV1,5,1,13.587
15,Laccaria bicolor,LacbV1,5,2,14.953
15,Laccaria bicolor,LacbV1,5,3,14.774
15,Laccaria bicolor,LacbV1,5,4,16.729
15,Laccaria bicolor,LacbV1,5,5,14.609
15,Laccaria bicolor,LacbV1,5,6,14.795
20,Suillus lakei,Suilla ,1,1,0.682
20,Suillus lakei,Suilla ,1,2,0.625
20,Suillus lakei,Suilla ,1,3,0.608
20,Suillus lakei,Suilla ,1,4,0.646
20,Suillus lakei,Suilla ,1,5,0.697
20,Suillus lakei,Suilla ,1,6,0.585
20,Suillus lakei,Suilla ,3,1,0.682
20,Suillus lakei,Suilla ,3,2,0.625
20,Suillus lakei,Suilla ,3,3,0.608
20,Suillus lakei,Suilla ,3,4,0.646
20,Suillus lakei,Suilla ,3,5,0.697
20,Suillus lakei,Suilla ,3,6,0.585
20,Suillus lakei,Suilla ,4,1,0.682
20,Suillus lakei,Suilla ,4,2,0.625
20,Suillus lakei,Suilla ,4,3,0.608
20,Suillus lakei,Suilla ,4,4,0.646
20,Suillus lakei,Suilla ,4,5,0.697
20,Suillus lakei,Suilla ,4,6,0.585
20,Suillus lakei,Suilla ,5,1,0.682
20,Suillus lakei,Suilla ,5,2,0.625
20,Suillus lakei,Suilla ,5,3,0.608
20,Suillus lakei,Suilla ,5,4,0.646
20,Suillus lakei,Suilla ,5,5,0.697
20,Suillus lakei,Suilla ,5,6,0.585
20,Suillus lakei,Suilla ,6,1,2.236
20,Suillus lakei,Suilla ,6,2,3.874
20,Suillus lakei,Suilla ,6,3,1.454
20,Suillus lakei,Suilla ,6,4,1.642
20,Suillus lakei,Suilla ,6,5,3.37
20,Suillus lakei,Suilla ,6,6,1.278
20,Suillus lakei,SL08,1,1,0.762
20,Suillus lakei,SL08,1,2,0.748
20,Suillus lakei,SL08,1,3,0.801
20,Suillus lakei,SL08,1,4,0.755
20,Suillus lakei,SL08,1,5,0.789
20,Suillus lakei,SL08,1,6,0.827
20,Suillus lakei,SL08,3,1,2.679
20,Suillus lakei,SL08,3,2,3.806
20,Suillus lakei,SL08,3,3,3.563
20,Suillus lakei,SL08,3,4,3.748
20,Suillus lakei,SL08,3,5,3.27
20,Suillus lakei,SL08,3,6,4.25
20,Suillus lakei,SL08,4,1,4.999
20,Suillus lakei,SL08,4,2,9.666
20,Suillus lakei,SL08,4,3,7.758
20,Suillus lakei,SL08,4,4,8.534
20,Suillus lakei,SL08,4,5,7.905
20,Suillus lakei,SL08,4,6,9.54
20,Suillus lakei,SL08,5,1,8.566
20,Suillus lakei,SL08,5,2,16.642
20,Suillus lakei,SL08,5,3,11.403
20,Suillus lakei,SL08,5,4,13.105
20,Suillus lakei,SL08,5,5,10.894
20,Suillus lakei,SL08,5,6,14.853
20,Suillus lakei,SL10,1,1,0.773
20,Suillus lakei,SL10,1,2,0.852
20,Suillus lakei,SL10,1,3,0.755
20,Suillus lakei,SL10,1,4,0.699
20,Suillus lakei,SL10,1,5,0.713
20,Suillus lakei,SL10,1,6,0.847
20,Suillus lakei,SL10,3,1,3.393
20,Suillus lakei,SL10,3,2,3.855
20,Suillus lakei,SL10,3,3,2.999
20,Suillus lakei,SL10,3,4,2.867
20,Suillus lakei,SL10,3,5,4.478
20,Suillus lakei,SL10,3,6,3.27
20,Suillus lakei,SL10,4,1,8.257
20,Suillus lakei,SL10,4,2,8.592
20,Suillus lakei,SL10,4,3,7.459
20,Suillus lakei,SL10,4,4,8.359
20,Suillus lakei,SL10,4,5,9.141
20,Suillus lakei,SL10,4,6,9.059
